author,0-author,1|   set([u'hep-th', u'hep-lat'])   0
author,0-author,2|   set([u'hep-th'])   0
author,0-author,3|   set([u'hep-th'])   0
author,4-author,5|   set([u'hep-th'])   0
author,4-author,6|   set([u'hep-th'])   0
author,7-author,8|   set([u'hep-th'])   0
author,7-author,9|   set([u'hep-th'])   0
author,10-author,11|   set([u'hep-th', u'astro-ph', u'gr-qc'])   0
author,10-author,12|   set([u'hep-th', u'astro-ph', u'gr-qc'])   0
author,13-author,14|   set([u'cond-mat', u'hep-th'])   0
author,13-author,15|   set([u'hep-th'])   0
author,16-author,17|   set([u'hep-th', u'gr-qc'])   0
author,18-author,19|   set([u'cond-mat', u'hep-th'])   0
author,18-author,20|   set([u'hep-th'])   0
author,18-author,21|   set([u'hep-th'])   0
author,18-author,22|   set([u'hep-th'])   0
author,18-author,23|   set([u'hep-th'])   0
author,24-author,25|   set([u'hep-th'])   0
author,24-author,26|   set([u'hep-th'])   0
author,27-author,28|   set([u'hep-th', u'hep-ph'])   0
author,29-author,30|   set([u'hep-th'])   0
author,31-author,32|   set([u'hep-th'])   0
author,31-author,33|   set([u'hep-th'])   0
author,31-author,34|   set([u'hep-th'])   0
author,35-author,36|   set([u'hep-th'])   0
author,37-author,38|   set([u'hep-th'])   0
author,37-author,39|   set([u'hep-th'])   0
author,37-author,40|   set([u'hep-th', u'gr-qc'])   0
author,37-author,41|   set([u'hep-th'])   0
author,42-author,43|   set([u'hep-th'])   0
author,42-author,44|   set([u'hep-th'])   0
author,42-author,45|   set([u'hep-th'])   0
author,46-author,47|   set([u'hep-th', u'math.FA', u'funct-an'])   0
author,48-author,49|   set([u'hep-th'])   0
author,50-author,51|   set([u'hep-th'])   0
author,50-author,52|   set([u'hep-th'])   0
author,50-author,53|   set([u'hep-th'])   0
author,54-author,55|   set([u'hep-th'])   0
author,56-author,57|   set([u'hep-th', u'gr-qc'])   0
author,56-author,58|   set([u'hep-th'])   0
author,56-author,59|   set([u'hep-th', u'gr-qc'])   0
author,56-author,60|   set([u'hep-th', u'gr-qc'])   0
author,56-author,61|   set([u'hep-th'])   0
author,56-author,62|   set([u'hep-th'])   0
author,56-author,63|   set([u'hep-th'])   0
author,56-author,64|   set([u'hep-th'])   0
author,56-author,65|   set([u'hep-th'])   0
author,66-author,39|   set([u'hep-th'])   0
author,66-author,67|   set([u'hep-th', u'hep-ph'])   0
author,68-author,69|   set([u'hep-th'])   0
author,70-author,61|   set([u'hep-th'])   0
author,71-author,72|   set([u'hep-th', u'hep-ph'])   0
author,71-author,73|   set([u'hep-th', u'hep-ph'])   0
author,71-author,74|   set([u'hep-th', u'gr-qc'])   0
author,75-author,76|   set([u'hep-th'])   0
author,75-author,77|   set([u'hep-th'])   0
author,75-author,78|   set([u'hep-th'])   0
author,75-author,79|   set([u'hep-th'])   0
author,80-author,81|   set([u'hep-th', u'hep-ph'])   0
author,82-author,83|   set([u'hep-th'])   0
author,84-author,85|   set([u'hep-th'])   0
author,86-author,87|   set([u'hep-th'])   0
author,86-author,88|   set([u'hep-th'])   0
author,86-author,89|   set([u'hep-th'])   0
author,90-author,91|   set([u'hep-th', u'gr-qc'])   0
author,90-author,92|   set([u'hep-th'])   0
author,90-author,93|   set([u'hep-th'])   0
author,90-author,94|   set([u'hep-th'])   0
author,90-author,95|   set([u'hep-th'])   0
author,90-author,17|   set([u'hep-th', u'gr-qc'])   0
author,96-author,95|   set([u'hep-th'])   0
author,96-author,39|   set([u'hep-th'])   0
author,97-author,98|   set([u'hep-th'])   0
author,97-author,99|   set([u'hep-th'])   0
author,97-author,100|   set([u'hep-th'])   0
author,97-author,101|   set([u'hep-th'])   0
author,102-author,103|   set([u'hep-th'])   0
author,104-author,105|   set([u'hep-th'])   0
author,104-author,106|   set([u'hep-th'])   0
author,107-author,108|   set([u'hep-th', u'gr-qc'])   0
author,107-author,109|   set([u'hep-th', u'gr-qc'])   0
author,107-author,110|   set([u'hep-th', u'gr-qc'])   0
author,111-author,112|   set([u'hep-th'])   0
author,113-author,114|   set([u'hep-th', u'quant-ph'])   0
author,115-author,116|   set([u'hep-th'])   0
author,115-author,117|   set([u'hep-th'])   0
author,118-author,119|   set([u'hep-th'])   0
author,118-author,120|   set([u'hep-th'])   0
author,121-author,122|   set([u'cond-mat', u'hep-th'])   0
author,121-author,123|   set([u'hep-th', u'hep-ph'])   0
author,124-author,125|   set([u'hep-th', u'q-alg', u'math.QA'])   0
author,126-author,127|   set([u'hep-th'])   0
author,126-author,128|   set([u'hep-th'])   0
author,126-author,129|   set([u'hep-th'])   0
author,11-author,130|   set([u'hep-th'])   0
author,11-author,131|   set([u'hep-th'])   0
author,11-author,132|   set([u'hep-th', u'gr-qc'])   0
author,11-author,133|   set([u'hep-th'])   0
author,134-author,135|   set([u'hep-th'])   0
